"phase","cards","order","outcomeArray","response","answer","AmyResponse","BenResponse","corAnswer","round","subj","outcome","cards_iso","RT","points","exp_time","number","inference_level","should_know","numRound","age","gender"
10,"A8AAA8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",3,100,1,"A8AAA8",4.272,7,53.2,25,4,10,3,57,0
1,"88AAA8","Ben,You,Amy","[[False, False, False], [True, True]]","True","A8","","False","False",1,101,0,"AA88A8",32.833,8,24.1,31,2,5,2,20,0
2,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","False","False",1,101,1,"AAA8A8",19.059,8,24.1,31,3,10,3,20,0
2,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",2,101,1,"AAA8A8",57.892,8,24.1,31,3,10,3,20,0
2,"AAA8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",3,101,1,"AAA8A8",2.233,8,24.1,31,3,10,3,20,0
3,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","False","False",1,101,1,"A8A8A8",16.837,8,24.1,31,3,10,3,20,0
3,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",2,101,1,"A8A8A8",19.755,8,24.1,31,3,10,3,20,0
3,"A8A8A8","Amy,Ben,You","[[False, False, False], [False, True, False], [False, True, False]]","False","","False","True","False",3,101,1,"A8A8A8",1.52,8,24.1,31,3,10,3,20,0
4,"AA8888","Amy,Ben,You","[[False, False, True]]","True","AA","False","False","True",1,101,1,"AA8888",3.005,8,24.1,31,0,1,1,20,0
5,"A8A888","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","","False","False","False",1,101,0,"A8A8AA",11.915,8,24.1,31,4,6,2,20,0
5,"A8A888","Amy,Ben,You","[[False, False, False], [True, False, True]]","False","","True","False","True",2,101,0,"A8A8AA",17.724,8,24.1,31,4,6,2,20,0
6,"88AA88","Ben,You,Amy","[[False, False, True], [True, True]]","False","88","True","False","False",1,101,1,"AA88AA",3.18,8,24.1,31,1,4,2,20,0
6,"88AA88","Ben,You,Amy","[[False, False, True], [True, True]]","True","88","","True","True",2,101,1,"AA88AA",7.346,8,24.1,31,1,4,2,20,0
7,"8888AA","You,Amy,Ben","[[False, False, True], [True]]","False","88","False","True","False",1,101,1,"AAAA88",4.189,8,24.1,31,1,4,2,20,0
7,"8888AA","You,Amy,Ben","[[False, False, True], [True]]","True","88","","","True",2,101,1,"AAAA88",5.479,8,24.1,31,1,4,2,20,0
8,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","False","A8","False","False","False",1,101,1,"A8AAA8",9.918,8,24.1,31,2,4,2,20,0
8,"A8AAA8","You,Amy,Ben","[[False, False, False], [True]]","True","A8","","","True",2,101,1,"A8AAA8",8.164,8,24.1,31,2,4,2,20,0
9,"A8AA88","Ben,You,Amy","[[False, False, False], [False, True]]","False","A8","False","False","False",1,101,1,"A8AA88",23.539,8,24.1,31,1,4,2,20,0
9,"A8AA88","Ben,You,Amy","[[False, False, False], [False, True]]","True","A8","","False","True",2,101,1,"A8AA88",4,8,24.1,31,1,4,2,20,0
10,"AAA888","You,Amy,Ben","[[False, False, False], [False, True, False], [False]]","False","","False","False","False",1,101,1,"AAA888",5.733,8,24.1,31,4,10,3,20,0
